492,466
481,471
482,472
484,473
480,475
482,475
486,475
488,477
499,470
491,474
492,475
496,475
488,482
494,480
497,480
491,481
494,481
495,482
497,482
499,482
493,483
495,484
496,484
497,484
499,484
491,485
494,486
497,486
498,486
495,487
499,487
495,488
496,488
496,489
498,489
442,499
498,490
499,490
497,494
499,494
507,466
509,466
512,465
512,466
510,467
535,463
503,470
504,470
505,470
507,470
505,471
506,471
507,471
505,472
502,478
505,478
508,478
509,478
506,479
500,480
508,480
501,481
507,481
502,489
501,484
507,484
500,485
503,485
500,486
503,486
506,486
505,489
503,490
503,491
500,493
516,499
517,499
520,499
624,455
626,459
449,508
520,500
523,519
522,454

